Shop_ID,Shop_Name,Location,Date,Product_ID,Product_Name,Quantity_Sold,Unit_Price,Total_Sales,Cost_Price_Per_Unit,Total_Cost,Profit
S008,Shop_8,Jaipur,2025-06-24,P107,Rice,193,83,16019,68,13124,2895
S008,Shop_8,Bangalore,2025-04-21,P102,Bread,63,48,3024,40,2520,504
S013,Shop_13,Lucknow,2025-06-09,P102,Bread,44,76,3344,63,2772,572
S011,Shop_11,Mumbai,2025-05-23,P107,Rice,183,97,17751,87,15921,1830
S010,Shop_10,Mumbai,2025-04-16,P102,Bread,181,21,3801,9,1629,2172
S019,Shop_19,Ahmedabad,2025-02-13,P120,Snacks,198,78,15444,70,13860,1584
S020,Shop_20,Pune,2025-04-11,P104,Cheese,62,85,5270,79,4898,372
S004,Shop_4,Delhi,2025-05-25,P104,Cheese,164,27,4428,23,3772,656
S002,Shop_2,Kolkata,2025-01-08,P107,Rice,102,100,10200,95,9690,510
S010,Shop_10,Mumbai,2025-05-22,P103,Butter,74,61,4514,51,3774,740
S013,Shop_13,Pune,2025-01-21,P104,Cheese,78,90,7020,91,7098,-78
S008,Shop_8,Mumbai,2025-01-04,P106,Juice,63,44,2772,38,2394,378
S013,Shop_13,Lucknow,2025-03-16,P109,Sugar,143,15,2145,1,143,2002
S006,Shop_6,Mumbai,2025-06-20,P117,Cereal,49,74,3626,63,3087,539
S010,Shop_10,Mumbai,2025-06-10,P106,Juice,157,51,8007,38,5966,2041
S011,Shop_11,Lucknow,2025-01-28,P106,Juice,104,86,8944,89,9256,-312
S016,Shop_16,Chennai,2025-02-20,P111,Coffee,116,36,4176,26,3016,1160
S011,Shop_11,Pune,2025-04-22,P106,Juice,76,80,6080,78,5928,152
S010,Shop_10,Hyderabad,2025-03-22,P119,Detergent,106,24,2544,21,2226,318
S002,Shop_2,Kolkata,2025-03-14,P101,Milk,145,25,3625,27,3915,-290
S017,Shop_17,Jaipur,2025-02-07,P117,Cereal,143,36,5148,39,5577,-429
S011,Shop_11,Pune,2025-01-04,P113,Soap,72,64,4608,67,4824,-216
S004,Shop_4,Pune,2025-05-09,P107,Rice,186,39,7254,29,5394,1860
S002,Shop_2,Lucknow,2025-01-14,P120,Snacks,73,53,3869,42,3066,803
S006,Shop_6,Hyderabad,2025-03-26,P105,Eggs,65,38,2470,28,1820,650
S011,Shop_11,Ahmedabad,2025-03-11,P118,Flour,181,66,11946,71,12851,-905
S010,Shop_10,Ahmedabad,2025-03-28,P108,Oil,130,97,12610,87,11310,1300
S010,Shop_10,Bangalore,2025-02-18,P114,Shampoo,131,34,4454,28,3668,786
S005,Shop_5,Kolkata,2025-01-01,P111,Coffee,34,93,3162,80,2720,442
S001,Shop_1,Pune,2025-03-28,P104,Cheese,141,47,6627,39,5499,1128
S014,Shop_14,Delhi,2025-06-09,P113,Soap,100,27,2700,19,1900,800
S009,Shop_9,Kolkata,2025-04-21,P111,Coffee,191,56,10696,56,10696,0
S003,Shop_3,Lucknow,2025-01-29,P119,Detergent,21,16,336,18,378,-42
S007,Shop_7,Delhi,2025-01-27,P116,Salt,133,29,3857,21,2793,1064
S009,Shop_9,Jaipur,2025-03-16,P115,Toothpaste,84,13,1092,9,756,336
S007,Shop_7,Jaipur,2025-04-18,P115,Toothpaste,168,22,3696,21,3528,168
S010,Shop_10,Jaipur,2025-01-10,P118,Flour,111,79,8769,71,7881,888
S015,Shop_15,Mumbai,2025-03-23,P106,Juice,110,73,8030,59,6490,1540
S005,Shop_5,Lucknow,2025-04-21,P111,Coffee,150,94,14100,88,13200,900
S007,Shop_7,Chennai,2025-06-11,P120,Snacks,11,42,462,27,297,165
S003,Shop_3,Lucknow,2025-03-17,P113,Soap,170,50,8500,36,6120,2380
S020,Shop_20,Delhi,2025-04-11,P115,Toothpaste,164,23,3772,9,1476,2296
S019,Shop_19,Chennai,2025-05-04,P111,Coffee,82,25,2050,26,2132,-82
S017,Shop_17,Hyderabad,2025-01-12,P113,Soap,128,77,9856,77,9856,0
S018,Shop_18,Chennai,2025-05-29,P107,Rice,121,44,5324,45,5445,-121
S007,Shop_7,Pune,2025-03-10,P115,Toothpaste,109,29,3161,22,2398,763
S006,Shop_6,Bangalore,2025-01-01,P107,Rice,74,99,7326,95,7030,296
S002,Shop_2,Chennai,2025-06-24,P105,Eggs,121,62,7502,59,7139,363
S001,Shop_1,Delhi,2025-02-06,P105,Eggs,23,49,1127,39,897,230
